"","gene_id","gene_name","pvalue_bf","pvalue_af","rank_bf","rank_af","rank_diff","cor_bf","cor_af","log_neg_bf","log_neg_af"
"269","ENSMUSG00000026004","Kansl1l","0.000638935107655481","0.000856055328475972",2618,1954,-664,-0.417972658523007,-0.417972658523007,7.35570766170841,7.06317554784129
"273","ENSMUSG00000061816","Myl1","0.00791447607106823","0.00931434564058325",4047,3438,-609,-0.498366460350955,-0.498366460350955,4.83906178227242,4.67619952532059
"309","ENSMUSG00000033276","Stk36","0.00025523675422192","0.00077758124153177",2298.5,1916,-382.5,-0.492115808979281,-0.469173876809069,8.27331899561794,7.15932242865356
"504","ENSMUSG00000026389","Steap3","0.000482285916813485","0.000655799160240928",2521,1853.5,-667.5,-0.389079460733622,-0.389079460733622,7.63697343137065,7.32965597406548
"545","ENSMUSG00000055184","Fam72a","0.00272675479244069","0.00340460701912809",3322,2661,-661,-0.358570524368553,-0.358570524368553,5.90464309759185,5.6826257589258
"643","ENSMUSG00000032487","Ptgs2","0.00686905533419529","0.00815440758687573",3927,3308,-619,-0.369063770947792,-0.369063770947792,4.98072868814224,4.80919668970781
"865","ENSMUSG00000104279","Gm38300","0.00798430277485081","0.00939286895624067",4055,3447.5,-607.5,-0.435044786771662,-0.435044786771662,4.83027781799027,4.66780449928174
"910","ENSMUSG00000039384","Dusp10","8.65288415240878e-15","1.7716405069423e-12",484,160,-324,-0.563639934077466,-0.533521838044313,32.3808837015175,27.0591151585135
"928","ENSMUSG00000104394","Gm37254","0.00786518267528212","0.00926084009056383",4041,3432,-609,-0.50523450848373,-0.50523450848373,4.84530951638662,4.681960511916
"1042","ENSMUSG00000054074","Skida1","0.00219028196161878","0.00191202711237382",3186,2335,-851,-0.415151480969428,-0.427596711235143,6.12372499384363,6.25959128434164
"1044","ENSMUSG00000026740","Dnajc1","5.10935030967906e-07","7.00868122004773e-06",1168,775,-393,-0.401397435714422,-0.374267498715345,14.4870233957888,11.8683610029973
"1601","ENSMUSG00000068615","Gjd2","0.00332028468143706","0.00410390997569301",3446,2788,-658,-0.446806021535929,-0.446806021535929,5.70770475230904,5.49581510710158
"1612","ENSMUSG00000040152","Thbs1","3.64023528932607e-05","5.89014815598468e-05",1809,1118,-691,-0.423336651337253,-0.423336651337253,10.2208771454859,9.73964431380565
"1902","ENSMUSG00000032715","Trib3","0.00150037125948993","0.00280078651576214",3004,2550,-454,-0.449551468613034,-0.436198116269852,6.50204269517199,5.87785500275909
"1918","ENSMUSG00000074673","Ttll9","0.00699727170378419","0.00829532240770327",3943,3326,-617,-0.47489994168001,-0.47489994168001,4.96223496250393,4.79206348837917
"1960","ENSMUSG00000027611","Procr","0.000387324205016397","0.000926057705307621",2446,1994,-452,-0.414849758615336,-0.399745835941465,7.85624847658155,6.98457400851281
"2187","ENSMUSG00000027568","Ntsr1","0.00188705729085854","0.00237773804449612",3111,2469,-642,-0.406212136939064,-0.406212136939064,6.27273665224127,6.04160564468881
"2431","ENSMUSG00000036834","Plch1","0.000100764297433241","0.000148764744574167",2030,1375,-655,-0.376792499169575,-0.376792499169575,9.2027264571984,8.81314439526324
"2442","ENSMUSG00000027833","Shox2","0.0359086511737718","4.10466593294276e-06",5551.5,714,-4837.5,-0.195651555761575,-0.394987031402468,3.32677703274806,12.403386198897
"2514","ENSMUSG00000028072","Ntrk1","0.00837935262721846","0.00983902818499193",4104.5,3496,-608.5,-0.483087480098958,-0.483087480098958,4.78198461959415,4.62139833448304
"2628","ENSMUSG00000052415","Tchh","0.00237487644532502","0.00297319090581519",3235,2583.5,-651.5,-0.424357139025095,-0.424357139025095,6.04280986586982,5.81811952383731
"2747","ENSMUSG00000027859","Ngf","0.00233599264673998","0.00361623055275744",3220,2701,-519,-0.402002472272938,-0.394601090911503,6.05931836182078,5.6223230794257
"2849","ENSMUSG00000033502","Cdc14a","0.000211341820869787","0.000501541508162496",2229,1743,-486,-0.403196157483928,-0.390538207581704,8.46203373115721,7.59782418596644
"3263","ENSMUSG00000003032","Klf4","0.000977160349298585","0.0012901999921555",2815,2132,-683,-0.396821521951877,-0.396821521951877,6.93085979523426,6.6529580399462
"3673","ENSMUSG00000078532","Nkain1","0.00719530403048582","0.00849866110195848",3958,3351,-607,-0.359970969638595,-0.359970969638595,4.93432668373489,4.76784664530969
"3728","ENSMUSG00000012123","Crybg2","0.00261320473701697","0.00326204821796698",3292,2638,-654,-0.452004678778501,-0.452004678778501,5.94717794227279,5.72539999317369
"3876","ENSMUSG00000059423","Zfp933","0.000888923588748292","0.00118395242491799",2776.5,2085,-691.5,-0.366354822624659,-0.366354822624659,7.02549927805863,6.73889692498473
"4010","ENSMUSG00000096351","Samd11","0.00821804483086511","0.00964285248843028",4081,3478,-603,-0.43807489071849,-0.43807489071849,4.80142295333196,4.64153831284039
"4030","ENSMUSG00000073234","Gm8773","0.00182599893008393","0.00230750723339715",3089,2446,-643,-0.693114017964646,-0.693114017964646,6.30562808274385,6.07158745685886
"4158","ENSMUSG00000038676","Ucn","0.00778469697441749","0.00916627547740776",4029.5,3422,-607.5,-0.527085596847137,-0.527085596847137,4.8555953987418,4.69222423908021
"4314","ENSMUSG00000029193","Cckar","0.00290891781885996","0.00361623055275744",3359,2701,-658,-0.550965530674245,-0.550965530674245,5.83997415051785,5.6223230794257
"4377","ENSMUSG00000029219","Slc10a4","1.02945697255123e-06","2.00719868117524e-06",1242,637,-605,-0.473601986755021,-0.473601986755021,13.7864791058627,13.1187704989414
"4401","ENSMUSG00000029236","Nmu","0.000367542799290844","0.00050880853539749",2424,1750.5,-673.5,-0.852081200504465,-0.852081200504465,7.90867078543704,7.58343877053369
"4447","ENSMUSG00000082361","Btc","0.000919855803151922","0.00122179254957416",2788,2099,-689,-0.595952369470628,-0.595952369470628,6.99129363590994,6.70743619567671
"4790","ENSMUSG00000029480","Dhx37","0.000322941693033682","0.000451966576266881",2382,1702,-680,-0.396913010399569,-0.396913010399569,8.03803876796034,7.70190232717842
"5143","ENSMUSG00000039841","Zfp800","0.00694021149743589","0.00823000381488105",3936,3320,-616,-0.366143908391081,-0.366143908391081,4.97042302979293,4.79996880075972
"5248","ENSMUSG00000029687","Ezh2","0.00362103304835279","0.00518251028334566",3481.5,2947,-534.5,-0.368186121914812,-0.362745394021712,5.62099592138229,5.26246572941209
"5287","ENSMUSG00000029828","4921507P07Rik","0.0025227588188257","0.00315127954862102",3269,2617,-652,-0.805307796176173,-0.805307796176173,5.98240220690651,5.75994670271245
"5339","ENSMUSG00000039578","Ccser1","4.92971194981082e-05","7.81621562765749e-05",1863,1175,-688,-0.488575729298845,-0.488575729298845,9.91764490665287,9.45672496262954
"5462","ENSMUSG00000029999","Tgfa","3.10064143075854e-30","8.2246386871313e-17",226,77,-149,-0.45836502369691,-0.356051442297909,67.9459437865859,37.0368122138285
"5469","ENSMUSG00000033508","Asprv1","0.0076540084550203","0.00900868033596461",4010,3407,-603,-0.601021239827409,-0.601021239827409,4.87252578732542,4.70956668468577
"5702","ENSMUSG00000030144","Clec4d","1.18589310207583e-05","2.03406447290832e-05",1578,919.5,-658.5,-0.572618034098769,-0.572618034098769,11.3424293016139,10.8028894702512
"5801","ENSMUSG00000090698","Apold1","0.000566504402536499","0.000763189958946533",2575,1911.5,-663.5,-0.371059952268767,-0.371059952268767,7.47602570605863,7.17800359443334
"5809","ENSMUSG00000030208","Emp1","5.21787552529914e-09","3.70082851927007e-08",852.5,393.5,-459,-0.434424886252602,-0.422860120972358,19.0711755053843,17.1121240252424
"5933","ENSMUSG00000004371","Il11","5.59376171686908e-10","1.50494087471638e-09",756,281,-475,-0.609971192800287,-0.609971192800287,21.3041989322658,20.31451222542
"6146","ENSMUSG00000003752","Itpkc","3.62874987226403e-05","0.000131351367722353",1808,1339,-469,-0.388920372517991,-0.37256499871349,10.2240372638146,8.93763462907877
"6195","ENSMUSG00000096257","Ccer2","0.00259475628992167","0.00324174635908257",3288,2631.5,-656.5,-0.350811469499132,-0.350811469499132,5.95426268202636,5.73164309466923
"6340","ENSMUSG00000047884","Klk9","1.75367191051647e-06","3.30815271762013e-06",1311,694.5,-616.5,-0.468956273335232,-0.468956273335232,13.2537987336678,12.6191206157197
"6341","ENSMUSG00000064023","Klk8","1.37918138381748e-07","1.39820330805146e-05",1053,871,-182,-0.457831194316625,-0.399833000130637,15.7966055279343,11.1777374039415
"6556","ENSMUSG00000039236","Isg20","0.00721531695560649","0.00395829922340582",3962,2769,-1193,-0.453285707357249,-0.487763633767887,4.93154915763021,5.53194083501152
