"","gene_id","gene_name","cor_before","pval_before","cor_after","pval_after","rank_before","rank_after","rank_diff"
"1","ENSMUSG00000024810","Il33",-0.598266700735752,7.18561581406718e-145,-0.371529373315113,9.67379479050668e-47,7,1,-6
"2","ENSMUSG00000001131","Timp1",-0.571021620228326,8.27091962881423e-123,-0.364148999121394,8.21699945230167e-43,16,2,-14
"3","ENSMUSG00000005413","Hmox1",-0.623928119768673,6.33161068729164e-132,-0.386711172710127,4.20990360077934e-42,12,5,-7
"4","ENSMUSG00000047797","Gjb1",-0.492524987197393,1.4078756243384e-49,-0.36129196453995,3.40973691627172e-24,125,34,-91
"5","ENSMUSG00000023067","Cdkn1a",-0.474335851223364,1.04141022277263e-27,-0.41635566558004,5.24616913905896e-20,246,56,-190
"6","ENSMUSG00000004891","Nes",-0.479963466529964,6.20090008249376e-27,-0.358151286749967,1.07306509333182e-13,253,121,-132
"7","ENSMUSG00000050335","Lgals3",-0.338927334958735,2.03626178457248e-12,-0.359430162315753,1.69248949299557e-13,491,129,-362
"8","ENSMUSG00000040298","Btbd16",-0.499988339004121,9.05730937660118e-13,-0.487481270831513,1.35847939019301e-11,475,169,-306
"9","ENSMUSG00000004371","Il11",-0.654126951310218,8.87763185704263e-12,-0.654126951310218,2.56297733273943e-11,511,177,-334
"10","ENSMUSG00000039384","Dusp10",-0.547220350783035,9.67369977280389e-14,-0.499349116699167,1.08444165670614e-10,454,193,-261
"11","ENSMUSG00000035493","Tgfbi",-0.38735353531962,8.42248888297861e-13,-0.359123074943501,1.72950571122213e-10,474,199,-275
"12","ENSMUSG00000047884","Klk9",-0.550362118499846,5.61674967985896e-09,-0.550362118499846,1.42731521276416e-08,648,255,-393
"13","ENSMUSG00000029219","Slc10a4",-0.523840922315015,3.61069015026513e-08,-0.523840922315015,8.79338145438718e-08,716,294,-422
"14","ENSMUSG00000100241","Slc18a3",-0.558082805531132,6.36784771075203e-08,-0.558082805531132,1.49747128423814e-07,729,310,-419
"15","ENSMUSG00000040663","Clcf1",-0.417670750166075,6.36658592886127e-09,-0.392845851126728,1.73203580141798e-07,655,316,-339
"16","ENSMUSG00000049699","Ucn2",-0.502786183685933,9.15048307723356e-08,-0.502786183685933,2.07710352059903e-07,740,325,-415
"17","ENSMUSG00000024912","Fosl1",-0.443344425085357,2.58805777412127e-10,-0.36167709754039,1.97078358658931e-06,571,395,-176
"18","ENSMUSG00000030208","Emp1",-0.376036859034648,1.355257748382e-06,-0.371293475811718,4.03191191920028e-06,845,426,-419
"19","ENSMUSG00000028364","Tnc",-0.35866504072961,2.09162402056196e-06,-0.35866504072961,4.22234381720919e-06,864,428,-436
"20","ENSMUSG00000040152","Thbs1",-0.478283511141711,2.35021288539711e-06,-0.478283511141711,4.68962019430964e-06,868,435,-433
"21","ENSMUSG00000038508","Gdf15",-0.391405838093581,3.8776919295743e-05,-0.423584448659815,9.67542127126699e-06,1025,464,-561
"22","ENSMUSG00000042622","Maff",-0.419572302227539,7.17001425008095e-06,-0.419321087616374,1.37849720938606e-05,920,487,-433
"23","ENSMUSG00000030144","Clec4d",-0.560973157119885,3.36039569000968e-05,-0.560973157119885,5.95387180616698e-05,1017,574,-443
"24","ENSMUSG00000019987","Arg1",-0.42291584082332,4.32640934434463e-05,-0.42291584082332,7.59508873013981e-05,1034,589,-445
"25","ENSMUSG00000064023","Klk8",-0.413720433125567,5.02012731864629e-06,-0.364975981287319,0.000185193920656857,905,645,-260
"26","ENSMUSG00000023945","Slc5a7",-0.461232527331154,0.00012803470723931,-0.461232527331154,0.000215758637086933,1124,667,-457
"27","ENSMUSG00000024053","Emilin2",-0.404133814058056,0.000142045107969952,-0.403621252015177,0.000242836536626965,1129,680,-449
"28","ENSMUSG00000027611","Procr",-0.452248962051545,0.000139399183979643,-0.44470179220152,0.000326025228701487,1128,705,-423
"29","ENSMUSG00000036834","Plch1",-0.36662980437106,0.000301733748526704,-0.36662980437106,0.00048879240664299,1201,742,-459
"30","ENSMUSG00000075296","Aldh3b2",-0.364033878919842,0.000459309718975141,-0.368335599129595,0.000585865826581578,1229,765,-464
"31","ENSMUSG00000096225","Lhx8",-0.488846162520847,0.000472600660909359,-0.488846162520847,0.000733900018767304,1233,794,-439
"32","ENSMUSG00000036904","Fzd8",-0.369061258454416,0.000586681409944819,-0.361014786507656,0.00129466861245982,1260,857,-403
"33","ENSMUSG00000033502","Cdc14a",-0.400054756340728,0.000449137652496692,-0.38235894017959,0.00147933996687988,1225,870,-355
"34","ENSMUSG00000082361","Btc",-0.613531312924835,0.00107795875206022,-0.613531312924835,0.00162119162936678,1334,887,-447
"35","ENSMUSG00000029236","Nmu",-0.823950284328632,0.00180975647121183,-0.823950284328632,0.00264846956291659,1421,971,-450
"36","ENSMUSG00000020954","Strn3",-0.385574009623225,0.00248982818108928,-0.385574009623225,0.00358584078237271,1469,1020,-449
"37","ENSMUSG00000029193","Cckar",-0.583274974205254,0.00259076794777115,-0.583274974205254,0.003713349969931,1472,1027,-445
"38","ENSMUSG00000032725","Folr2",-0.48661240271572,0.00357182895485012,-0.48661240271572,0.00508184360088759,1538,1080,-458
"39","ENSMUSG00000031465","Angpt2",-0.484155743796256,0.00435576056211875,-0.484155743796256,0.00614724272879662,1575,1116,-459
"40","ENSMUSG00000061816","Myl1",-0.54695244631618,0.00548272374543059,-0.54695244631618,0.00763217429084496,1644,1181,-463
"41","ENSMUSG00000028072","Ntrk1",-0.530589921871615,0.00596601261143179,-0.530589921871615,0.00827946641301715,1657,1194,-463
"42","ENSMUSG00000115483","Gm9732",-0.500992750571403,0.0069457117466577,-0.500992750571403,0.00963070433013226,1693,1220,-473
