"","gene_id","gene_name","cor_before","pval_before","cor_after","pval_after","rank_before","rank_after","rank_diff"
"1","ENSMUSG00000025351","Cd63",-0.592991741898979,7.0609581033313e-202,-0.273175844097566,3.14820893133017e-35,2,12,10
"2","ENSMUSG00000031762","Mt2",-0.546752227780918,2.41467089329729e-173,-0.252875060032392,1.84873367987809e-31,3,17,14
"3","ENSMUSG00000032554","Trf",-0.531654810623881,5.77000789964375e-158,-0.277423205732481,4.20145489618192e-37,4,9,5
"4","ENSMUSG00000031765","Mt1",-0.512636036234026,4.11430210328484e-151,-0.216397148239003,3.35885095701547e-23,5,39,34
"5","ENSMUSG00000001025","S100a6",-0.533097582831038,7.27052654797185e-150,-0.235977506935275,4.63424466831161e-25,6,33,27
"6","ENSMUSG00000024810","Il33",-0.598266700735752,7.18561581406718e-145,-0.371529373315113,9.67379479050668e-47,7,1,-6
"7","ENSMUSG00000042312","S100a13",-0.520037130881232,3.92416247484248e-142,-0.291608279335645,5.12327876763648e-39,8,8,0
"8","ENSMUSG00000041959","S100a10",-0.532982881884813,4.87472277387755e-135,-0.273079033401726,1.44324157293684e-30,10,20,10
"9","ENSMUSG00000106918","Mrpl33",-0.508209306936016,1.31892196152535e-132,-0.278462133029924,6.39663060077063e-35,11,13,2
"10","ENSMUSG00000005413","Hmox1",-0.623928119768673,6.33161068729164e-132,-0.386711172710127,4.20990360077934e-42,12,5,-7
"11","ENSMUSG00000001131","Timp1",-0.571021620228326,8.27091962881423e-123,-0.364148999121394,8.21699945230167e-43,16,2,-14
"12","ENSMUSG00000068220","Lgals1",-0.501802290592839,1.43119129088551e-107,-0.325424836738848,2.75993933336451e-40,26,6,-20
"13","ENSMUSG00000071637","Cebpd",-0.518800892104183,8.61882984683417e-91,-0.26019129986064,8.23274720670586e-20,39,63,24
"14","ENSMUSG00000023905","Tnfrsf12a",-0.509226956121711,9.51811369472331e-59,-0.308499705242271,4.94418545037525e-19,105,65,-40
"15","ENSMUSG00000035385","Ccl2",-0.512242226431927,1.80588529223624e-51,-0.292081699403389,1.20027193072136e-14,121,98,-23
"16","ENSMUSG00000039384","Dusp10",-0.547220350783035,9.67369977280389e-14,-0.499349116699167,1.08444165670614e-10,454,193,-261
"17","ENSMUSG00000004371","Il11",-0.654126951310218,8.87763185704263e-12,-0.654126951310218,2.56297733273943e-11,511,177,-334
"18","ENSMUSG00000047884","Klk9",-0.550362118499846,5.61674967985896e-09,-0.550362118499846,1.42731521276416e-08,648,255,-393
"19","ENSMUSG00000029219","Slc10a4",-0.523840922315015,3.61069015026513e-08,-0.523840922315015,8.79338145438718e-08,716,294,-422
"20","ENSMUSG00000100241","Slc18a3",-0.558082805531132,6.36784771075203e-08,-0.558082805531132,1.49747128423814e-07,729,310,-419
"21","ENSMUSG00000049699","Ucn2",-0.502786183685933,9.15048307723356e-08,-0.502786183685933,2.07710352059903e-07,740,325,-415
"22","ENSMUSG00000030144","Clec4d",-0.560973157119885,3.36039569000968e-05,-0.560973157119885,5.95387180616698e-05,1017,574,-443
"23","ENSMUSG00000082361","Btc",-0.613531312924835,0.00107795875206022,-0.613531312924835,0.00162119162936678,1334,887,-447
"24","ENSMUSG00000029236","Nmu",-0.823950284328632,0.00180975647121183,-0.823950284328632,0.00264846956291659,1421,971,-450
"25","ENSMUSG00000029193","Cckar",-0.583274974205254,0.00259076794777115,-0.583274974205254,0.003713349969931,1472,1027,-445
"26","ENSMUSG00000061816","Myl1",-0.54695244631618,0.00548272374543059,-0.54695244631618,0.00763217429084496,1644,1181,-463
"27","ENSMUSG00000028072","Ntrk1",-0.530589921871615,0.00596601261143179,-0.530589921871615,0.00827946641301715,1657,1194,-463
"28","ENSMUSG00000115483","Gm9732",-0.500992750571403,0.0069457117466577,-0.500992750571403,0.00963070433013226,1693,1220,-473
