"","gene_id","gene_name","cor_before","pval_before","cor_after","pval_after","rank_before","rank_after","rank_diff"
"1","ENSMUSG00000026833","Olfm1",0.593192874455044,4.75771075230715e-205,0.298769984364639,8.21699945230167e-43,1,2,1
"2","ENSMUSG00000046447","Camk2n1",0.383695221964325,1.55856654388725e-77,0.293137612054209,2.79411602447639e-42,65,4,-61
"3","ENSMUSG00000024617","Camk2a",0.44507770373867,1.93210622513642e-85,0.301559023316245,7.26179486831827e-36,44,11,-33
"4","ENSMUSG00000053310","Nrgn",0.416708196919499,1.47008259363781e-91,0.263085298713685,1.53965369119697e-33,38,16,-22
"5","ENSMUSG00000007207","Stx1a",0.43521108067582,3.1668885577815e-67,0.297365554583084,8.62151928493107e-29,88,24,-64
"6","ENSMUSG00000005089","Slc1a2",0.454312042158722,1.98618344350515e-109,0.243369455886345,3.50807509879508e-28,25,27,2
"7","ENSMUSG00000058254","Tspan7",0.387446068842539,2.3059955623997e-77,0.220935642404253,3.92115425609476e-23,66,40,-26
"8","ENSMUSG00000033161","Atp1a1",0.422359909104262,2.47267652578031e-83,0.231811711168254,8.27828517300589e-23,49,43,-6
"9","ENSMUSG00000032532","Cck",0.50396680097022,3.18093167200818e-135,0.220896540353766,1.49901012825881e-22,9,45,36
"10","ENSMUSG00000001175","Calm1",0.393557434267521,6.77597252228186e-83,0.209619796147913,1.54179624967047e-21,53,48,-5
"11","ENSMUSG00000027270","Lamp5",0.350034991502159,5.22327315124286e-35,0.272293712668209,5.55117317285686e-20,202,57,-145
"12","ENSMUSG00000037852","Cpe",0.448121576434376,1.63252577753258e-110,0.201651648688793,5.68015007037673e-20,22,58,36
"13","ENSMUSG00000070570","Slc17a7",0.508789331648293,7.68120636682541e-110,0.229090022709764,2.73024487585931e-19,24,64,40
"14","ENSMUSG00000022421","Nptxr",0.389356695347791,3.29076246583103e-56,0.231620832756015,2.45901095889308e-18,108,70,-38
"15","ENSMUSG00000049556","Lingo1",0.369817593602299,4.27437968543508e-45,0.238024180827417,2.25152919952211e-17,140,75,-65
"16","ENSMUSG00000005583","Mef2c",0.435381262877298,5.03873195614352e-62,0.241315328371674,3.25177925402833e-17,99,77,-22
"17","ENSMUSG00000053025","Sv2b",0.363895204320925,5.5649357991105e-43,0.220184262496109,1.33423232655928e-14,148,100,-48
"18","ENSMUSG00000027273","Snap25",0.425936291913624,3.3306035789485e-97,0.173978571388964,1.47760605396145e-14,33,102,69
"19","ENSMUSG00000039195","1110008P14Rik",0.36112749764499,9.84279696766324e-67,0.171598435235701,6.61425572323296e-14,89,115,26
"20","ENSMUSG00000039953","Clstn1",0.400043081591457,4.59829087094538e-80,0.172762618949554,1.3731852260363e-13,61,125,64
"21","ENSMUSG00000029309","Sparcl1",0.442985501529888,1.50285713547212e-103,0.167570333489188,3.16754701048174e-13,28,134,106
"22","ENSMUSG00000019194","Scn1b",0.373159983018677,1.17830424820799e-69,0.169272778761132,3.35646940205234e-13,78,135,57
"23","ENSMUSG00000023046","Igfbp6",0.360750000541498,8.96636779320132e-37,0.217521335116194,1.79479822299426e-12,187,152,-35
"24","ENSMUSG00000042675","Ypel3",0.405384758154409,3.51952713203135e-83,0.160747410603852,6.86956499836541e-12,51,161,110
"25","ENSMUSG00000017390","Aldoc",0.39799746787209,9.34712329070095e-84,0.150906453112844,5.47900770586929e-11,48,184,136
"26","ENSMUSG00000031517","Gpm6a",0.357639204864463,6.08388396658861e-63,0.141723666040317,3.57779416221318e-09,97,237,140
"27","ENSMUSG00000018965","Ywhah",0.411194170810332,2.99864130541948e-89,0.135514074503382,8.30778273233356e-09,41,249,208
"28","ENSMUSG00000025855","Prkar1b",0.37815368452966,1.74497915683295e-69,0.126734756931798,3.12657171090134e-07,79,335,256
"29","ENSMUSG00000028832","Stmn1",0.480899044964181,1.11777128019533e-127,0.102821839618369,3.07315319710531e-05,14,529,515
"30","ENSMUSG00000054459","Vsnl1",0.398394616515043,2.90736619783356e-78,0.1046098199672,4.60401601754807e-05,63,559,496
"31","ENSMUSG00000039278","Pcsk1n",0.386692327720219,1.41361336606566e-80,0.0970780966989522,8.27682314723753e-05,58,597,539
"32","ENSMUSG00000021614","Vcan",0.430563236220457,0.000186108014434739,0.444372896710792,0.000163301979178742,1156,639,-517
"33","ENSMUSG00000010592","Dazl",0.459995376154026,0.000271906817519602,0.459995376154026,0.000442189088491934,1190,730,-460
"34","ENSMUSG00000026697","Myoc",0.382920354441296,0.000218206075643532,0.376693978982072,0.000487097855274083,1176,740,-436
"35","ENSMUSG00000034320","Slc26a2",0.484262564974797,0.00038026685736563,0.484262564974797,0.000604654089127073,1218,766,-452
"36","ENSMUSG00000039956","Mrap",0.643697478991597,0.0007506047647425,0.643697478991597,0.00114824657463585,1285,840,-445
"37","ENSMUSG00000059049","Frem1",0.723635590057218,0.000806859900746299,0.723635590057218,0.00122452855525026,1290,850,-440
"38","ENSMUSG00000006014","Prg4",0.399270158078879,0.000705613396572809,0.390798283462126,0.00152622095367428,1281,874,-407
"39","ENSMUSG00000030048","Gkn3",0.371819610136378,0.00173004459973999,0.371460907896097,0.00258005226661164,1413,962,-451
"40","ENSMUSG00000078302","Foxd1",0.496691569289295,0.00202819125691788,0.496691569289295,0.00294302626382231,1438,991,-447
"41","ENSMUSG00000035896","Rnase1",0.584747085242206,0.0030271033278623,0.584747085242206,0.0043223818865586,1505,1054,-451
"42","ENSMUSG00000051727","Kctd14",0.547245172346166,0.00392859349564603,0.547245172346166,0.00558557574769801,1554,1093,-461
"43","ENSMUSG00000026380","Tfcp2l1",0.540089097929937,0.0040093923464093,0.540089097929937,0.00569851760244888,1561,1099,-462
"44","ENSMUSG00000052861","Dnah6",0.544151438888281,0.00504427874241774,0.544151438888281,0.00707708989838614,1624,1158,-466
