"","gene_id","gene_name","pvalue_bf","pvalue_af","rank_bf","rank_af","rank_diff","cor_bf","cor_af","log_neg_bf","log_neg_af"
"67","ENSMUSG00000026147","Col9a1","0.00612071527589146","0.00727059895662997",3838,3231,-607,0.833059728560889,0.833059728560889,5.09607631414161,4.92391660339846
"491","ENSMUSG00000026380","Tfcp2l1","0.00114397567300735","0.00149181800712198",2872,2203,-669,0.561026893079999,0.561026893079999,6.77324565110434,6.50775976378139
"722","ENSMUSG00000026697","Myoc","0.00012860182977055","0.00052464693243291",2087,1764,-323,0.382107763760104,0.358800764708373,8.95878951787512,7.5527850312603
"1517","ENSMUSG00000040434","Large2","0.00631020647971746","0.00746914489337564",3853.5,3256,-597.5,0.968181651662465,0.968181651662465,5.06558688034672,4.89697475849484
"5272","ENSMUSG00000043505","Gimap5","0.00308491610767675","0.00382595382099509",3405,2745.5,-659.5,0.465961585508402,0.465961585508402,5.78123081561634,5.56594747782388
"5312","ENSMUSG00000003477","Inmt","0.00653192270906154","0.00774020877795388",3882,3275.5,-606.5,0.390270590823624,0.390270590823624,5.03105393660444,4.86132661784844
"5389","ENSMUSG00000052861","Dnah6","0.00501713498849738","0.00605544395135405",3714.5,3078,-636.5,0.507286092792188,0.507286092792188,5.29489622762365,5.10679758487062
"7326","ENSMUSG00000031583","Wrn","0.00709338673143872","0.00839217585127961",3948,3337,-611,0.351331628583141,0.351331628583141,4.94859237527675,4.78045545347475
"9972","ENSMUSG00000063564","Col23a1","0.00654261388418115","0.00775450482946585",3883.5,3277,-606.5,0.35430930740851,0.35430930740851,5.0294185168821,4.8594813361697
"11369","ENSMUSG00000034258","Flvcr2","0.00163929758577957","0.00208874920515404",3044,2388.5,-655.5,0.498771159825226,0.498771159825226,6.41348743024717,6.17118985859141
"12018","ENSMUSG00000021614","Vcan","0.00119326716894319","0.00123866965036943",2904.5,2109,-795.5,0.371050488179206,0.3776484610034,6.73106021379444,6.69371733789954
"12077","ENSMUSG00000078302","Foxd1","0.00233419240380427","0.0029227358581487",3218,2570,-648,0.468247016014605,0.468247016014605,6.06008931329503,5.83523516363197
"12198","ENSMUSG00000091617","Gm3752","0.00269136130786277","0.00336394801992949",3316,2653,-663,0.999999624937441,0.999999624937441,5.91770815097227,5.69463998885482
"12435","ENSMUSG00000035896","Rnase1","0.00634767554747931","0.00751426092232441",3860,3260.5,-599.5,0.522784433261511,0.522784433261511,5.05966658860728,4.89095260760967
"12619","ENSMUSG00000022061","Nkx3-1","0.00802182251063452","0.00943533417164108",4064,3455,-609,0.771396454541911,0.771396454541911,4.82558963720508,4.66329368249089
"13176","ENSMUSG00000016758","Bik","0.0055734171976972","0.00667964538990764",3792,3164,-628,0.88993851567557,0.88993851567557,5.18974691267319,5.00869037818583
"13182","ENSMUSG00000022441","Efcab6","0.00649158143508448","0.00769387310674133",3878,3272,-606,0.390509316460167,0.390509316460167,5.03724910536327,4.86733096728331
"13841","ENSMUSG00000039956","Mrap","3.57120173402713e-05","5.76640279992553e-05",1802,1115.5,-686.5,0.700514761528398,0.700514761528398,10.2400233056469,9.76087701041985
"14485","ENSMUSG00000010592","Dazl","0.000580914489410629","0.000782511765392362",2589,1922,-667,0.425422850964653,0.425422850964653,7.45090699023911,7.15300160001781
"14969","ENSMUSG00000034320","Slc26a2","0.000639201630399102","0.000856301314585804",2619,1955,-664,0.453356954086365,0.453356954086365,7.35529061282851,7.06288824074026
"15391","ENSMUSG00000042372","Dmrt3","0.00208151833372415","0.00261761685528744",3164,2516,-648,0.663655433777088,0.663655433777088,6.17465768342946,5.94549097236224
