"","gene_id","gene_name","pvalue_bf","pvalue_af","rank_bf","rank_af","rank_diff","cor_bf","cor_af","log_neg_bf","log_neg_af"
"67","ENSMUSG00000026147","Col9a1","0.00612071527589146","0.00727059895662997",3838,3231,-607,0.833059728560889,0.833059728560889,5.09607631414161,4.92391660339846
"491","ENSMUSG00000026380","Tfcp2l1","0.00114397567300735","0.00149181800712198",2872,2203,-669,0.561026893079999,0.561026893079999,6.77324565110434,6.50775976378139
"646","ENSMUSG00000006014","Prg4","0.0022350598160991","0.00720861980910061",3197,3221,24,0.351719643056993,0.320880686464106,6.10348728791943,4.93247777331903
"722","ENSMUSG00000026697","Myoc","0.00012860182977055","0.00052464693243291",2087,1764,-323,0.382107763760104,0.358800764708373,8.95878951787512,7.5527850312603
"1159","ENSMUSG00000026833","Olfm1","5.91911890797014e-187","3.21423042464312e-39",2,2,0,0.571343064158089,0.287479685775386,428.805224785181,88.6332306679828
"1517","ENSMUSG00000040434","Large2","0.00631020647971746","0.00746914489337564",3853.5,3256,-597.5,0.968181651662465,0.968181651662465,5.06558688034672,4.89697475849484
"1546","ENSMUSG00000005089","Slc1a2","9.69486774190959e-107","7.07385221448619e-30",22,21,-1,0.449452033562231,0.250524559847853,244.105008303648,67.121147590621
"1821","ENSMUSG00000027270","Lamp5","1.02617278590529e-38","1.69810137897347e-16",159,82,-77,0.367230638593403,0.248186093302774,87.472397393889,36.3118506968665
"1824","ENSMUSG00000027273","Snap25","3.97539464734456e-77","3.21491066407173e-11",55,209,154,0.383093696064183,0.152016285591293,175.918928135013,24.160636452856
"2205","ENSMUSG00000047841","Fndc11","0.00899127088501827","0.0104961423749871",4156,3560.5,-595.5,0.900112480025165,0.900112480025165,4.71150107396953,4.55674748218232
"2742","ENSMUSG00000033161","Atp1a1","1.75282242273717e-77","2.05694637118106e-15",53,99,46,0.408649574421485,0.191162809349213,176.7378248588,33.817553855955
"3740","ENSMUSG00000028832","Stmn1","7.28391050282156e-118","0.000146010134488612",12,1368,1356,0.464547924374688,0.0919534857694232,269.719373098325,8.83183452435944
"3910","ENSMUSG00000039953","Clstn1","2.86522552570153e-67","2.99540522904622e-10",76,247,171,0.36916372460197,0.149324668083271,153.22055416601,21.9287714056737
"4191","ENSMUSG00000018965","Ywhah","1.21992787107333e-71","6.72380722919854e-07",64,549.5,485.5,0.371558674619838,0.117925760608469,163.284749867651,14.2124411048892
"4517","ENSMUSG00000029309","Sparcl1","1.26187301238235e-91","4.48446964113519e-13",32,136,104,0.419314770052699,0.166624631055566,209.302646327505,28.432985972102
"4845","ENSMUSG00000007207","Stx1a","7.71500945770243e-55","3.96713073624415e-19",102,65,-37,0.396825937140202,0.244055023297979,124.599012402973,42.3710736699501
"5272","ENSMUSG00000043505","Gimap5","0.00308491610767675","0.00382595382099509",3405,2745.5,-659.5,0.465961585508402,0.465961585508402,5.78123081561634,5.56594747782388
"5312","ENSMUSG00000003477","Inmt","0.00653192270906154","0.00774020877795388",3882,3275.5,-606.5,0.390270590823624,0.390270590823624,5.03105393660444,4.86132661784844
"5389","ENSMUSG00000052861","Dnah6","0.00501713498849738","0.00605544395135405",3714.5,3078,-636.5,0.507286092792188,0.507286092792188,5.29489622762365,5.10679758487062
"6394","ENSMUSG00000070570","Slc17a7","1.61280411071561e-111","6.97939071173804e-21",17,53,36,0.51236983652981,0.238180996152268,255.108970974641,46.4113253304927
"6928","ENSMUSG00000042675","Ypel3","3.07558416180788e-72","3.39090991939058e-10",61,250,189,0.379964925802935,0.148189413791148,164.662631841035,21.8047526317648
"7326","ENSMUSG00000031583","Wrn","0.00709338673143872","0.00839217585127961",3948,3337,-611,0.351331628583141,0.351331628583141,4.94859237527675,4.78045545347475
"7426","ENSMUSG00000037852","Cpe","9.4375853398894e-103","4.45658673433049e-24",25,35,10,0.433756614308181,0.221192142225123,234.921564421215,53.7676590650253
"8205","ENSMUSG00000053310","Nrgn","2.49609632935003e-82","3.70745115672714e-29",43,22,-21,0.397033986829658,0.245994906868657,187.89724958226,65.4646230760643
"8879","ENSMUSG00000038060","Dlec1","0.00858763117897638","0.0100453102720868",4121,3523,-598,0.500732978824849,0.500732978824849,4.75743234597813,4.60064939298055
"8907","ENSMUSG00000032532","Cck","1.28344611639288e-122","5.83153456235681e-17",11,75,64,0.483088214614054,0.192243746802154,280.6658326066,37.3806663969292
"9678","ENSMUSG00000047631","Apof","0.00983608093867405","0.0114578874254074",4246,3644.5,-601.5,0.896235328410261,0.896235328410261,4.62169792584199,4.46907692802155
"9972","ENSMUSG00000063564","Col23a1","0.00654261388418115","0.00775450482946585",3883.5,3277,-606.5,0.35430930740851,0.35430930740851,5.0294185168821,4.8594813361697
"10372","ENSMUSG00000017390","Aldoc","6.3467977383572e-83","1.17847134891606e-15",42,97,55,0.396320383577183,0.180208233947264,189.266612325972,34.3745582632962
"11049","ENSMUSG00000054459","Vsnl1","7.4669698809646e-71","0.000311366085390136",65,1581,1516,0.380668248560499,0.0909566711360864,161.473052324151,8.07454121461068
"11369","ENSMUSG00000034258","Flvcr2","0.00163929758577957","0.00208874920515404",3044,2388.5,-655.5,0.498771159825226,0.498771159825226,6.41348743024717,6.17118985859141
"11422","ENSMUSG00000001175","Calm1","1.41446006311542e-67","5.33919647067247e-20",75,60,-15,0.357943058450068,0.202001191614857,153.926453353164,44.3766266918879
"12010","ENSMUSG00000005583","Mef2c","6.96467380433027e-50","2.5383336272711e-10",125,245,120,0.394277323667675,0.186440647263638,113.188403877116,22.0943431164619
"12018","ENSMUSG00000021614","Vcan","0.00119326716894319","0.00123866965036943",2904.5,2109,-795.5,0.371050488179206,0.3776484610034,6.73106021379444,6.69371733789954
"12077","ENSMUSG00000078302","Foxd1","0.00233419240380427","0.0029227358581487",3218,2570,-648,0.468247016014605,0.468247016014605,6.06008931329503,5.83523516363197
"12198","ENSMUSG00000091617","Gm3752","0.00269136130786277","0.00336394801992949",3316,2653,-663,0.999999624937441,0.999999624937441,5.91770815097227,5.69463998885482
"12435","ENSMUSG00000035896","Rnase1","0.00634767554747931","0.00751426092232441",3860,3260.5,-599.5,0.522784433261511,0.522784433261511,5.05966658860728,4.89095260760967
"12619","ENSMUSG00000022061","Nkx3-1","0.00802182251063452","0.00943533417164108",4064,3455,-609,0.771396454541911,0.771396454541911,4.82558963720508,4.66329368249089
"13113","ENSMUSG00000022421","Nptxr","7.9635142569361e-45","2.34648820160502e-11",137,201,64,0.350442182166471,0.182157378710575,101.541458792739,24.4755161947771
"13176","ENSMUSG00000016758","Bik","0.0055734171976972","0.00667964538990764",3792,3164,-628,0.88993851567557,0.88993851567557,5.18974691267319,5.00869037818583
"13182","ENSMUSG00000022441","Efcab6","0.00649158143508448","0.00769387310674133",3878,3272,-606,0.390509316460167,0.390509316460167,5.03724910536327,4.86733096728331
"13841","ENSMUSG00000039956","Mrap","3.57120173402713e-05","5.76640279992553e-05",1802,1115.5,-686.5,0.700514761528398,0.700514761528398,10.2400233056469,9.76087701041985
"14485","ENSMUSG00000010592","Dazl","0.000580914489410629","0.000782511765392362",2589,1922,-667,0.425422850964653,0.425422850964653,7.45090699023911,7.15300160001781
"14964","ENSMUSG00000024617","Camk2a","4.98278861343414e-83","1.00676370738362e-33",41,15,-26,0.43952715217697,0.292633044183179,189.508573021653,75.9785671326676
"14969","ENSMUSG00000034320","Slc26a2","0.000639201630399102","0.000856301314585804",2619,1955,-664,0.453356954086365,0.453356954086365,7.35529061282851,7.06288824074026
"15391","ENSMUSG00000042372","Dmrt3","0.00208151833372415","0.00261761685528744",3164,2516,-648,0.663655433777088,0.663655433777088,6.17465768342946,5.94549097236224
"15684","ENSMUSG00000058254","Tspan7","6.97950623545936e-69","1.74113842541899e-22",70,45,-25,0.367260651771518,0.217789336510992,156.935393242223,50.1023328791
