,names,pvals_adj_cluster,logfoldchanges_cluster,scores_cluster,rank_cluster,pvals_adj_anatomy,logfoldchanges_anatomy,scores_anatomy,rank_anatomy,scores_sum,rank_sum
0,Mt2,0.0,2.506281,37.96016,1,4.316652928171956e-137,2.8691552,25.28238,2,63.24254,3
3,Hmox1,8.363213057960375e-235,4.714487,32.979248,4,4.010909274527159e-120,6.675996,23.66786,4,56.64711,8
4,Timp1,7.672594195951207e-234,4.403075,32.906498,5,3.818988400972297e-125,6.944933,24.159819,3,57.066315,8
1,S100a6,1.057004002381787e-260,2.6796901,34.753616,2,6.163879340084115e-108,2.682278,22.42248,9,57.176094,11
2,Cd63,3.2268486158459706e-258,2.2152274,34.58043,3,4.925428717946671e-112,2.420949,22.843174,8,57.423603,11
5,Serpina3n,4.858761342843459e-226,3.3058288,32.347626,6,7.06089970029041e-116,4.256548,23.237457,6,55.585083,12
6,Lcn2,2.5878961175256277e-186,3.6976273,29.377573,8,1.951938106141004e-113,5.632638,22.988907,7,52.366478,15
7,Cebpd,1.9607281119788022e-185,3.2857056,29.304575,10,2.673620112684642e-105,4.0918903,22.146257,10,51.450832,20
10,Gfap,1.9235015271060126e-146,2.26533,26.044401,16,6.496526677994292e-118,3.5267653,23.444551,5,49.488953,21
8,Lgals1,6.566716239562865e-162,2.3646255,27.385792,13,5.664894065587867e-88,2.9681776,20.26105,12,47.646843,25
9,Vim,4.094488966373265e-147,2.4141476,26.107477,14,3.794278432846975e-69,2.5083869,17.97748,18,44.084957,32
11,Tnfrsf12a,1.5887806935063767e-140,3.2599773,25.508362,17,5.059112831421717e-77,3.7464077,18.965086,15,44.47345,32
12,Tgm1,2.4132028814319745e-132,4.3268566,24.754248,19,1.0292463360250054e-77,6.2565055,19.055185,14,43.809433,33
13,S100a11,1.02076725785665e-124,2.7303283,24.032938,20,2.2127376930225296e-69,3.1208043,18.0102,17,42.043137,37
14,Ccl2,1.6596518977179481e-118,4.108954,23.422949,24,4.4523992752233534e-72,5.5640492,18.35361,16,41.776558,40
15,Hmga1,5.781623494401432e-98,2.6189232,21.29312,27,1.0370001835442304e-57,3.285407,16.42442,26,37.717537,53
17,Tm4sf1,8.736894923289327e-78,2.3400753,18.964787,34,1.417572903997246e-51,2.5958877,15.526526,31,34.491314,65
