"","gene_id","gene_name","cor_before","pval_before","cor_after","pval_after","rank_before","rank_after","rank_diff"
"1","ENSMUSG00000031762","Mt2",-0.546752227780918,2.41467089329729e-173,-0.252875060032392,1.84873367987809e-31,3,17,14
"2","ENSMUSG00000005413","Hmox1",-0.623928119768673,6.33161068729164e-132,-0.386711172710127,4.20990360077934e-42,12,5,-7
"3","ENSMUSG00000001131","Timp1",-0.571021620228326,8.27091962881423e-123,-0.364148999121394,8.21699945230167e-43,16,2,-14
"4","ENSMUSG00000001025","S100a6",-0.533097582831038,7.27052654797185e-150,-0.235977506935275,4.63424466831161e-25,6,33,27
"5","ENSMUSG00000025351","Cd63",-0.592991741898979,7.0609581033313e-202,-0.273175844097566,3.14820893133017e-35,2,12,10
"6","ENSMUSG00000021091","Serpina3n",-0.47121361562008,1.48502175767924e-90,-0.327385759963842,1.05838344118404e-39,40,7,-33
"7","ENSMUSG00000026822","Lcn2",-0.464852993982661,8.07482016264346e-82,-0.323710157407493,4.21619070354954e-36,54,10,-44
"8","ENSMUSG00000071637","Cebpd",-0.518800892104183,8.61882984683417e-91,-0.26019129986064,8.23274720670586e-20,39,63,24
"9","ENSMUSG00000020932","Gfap",-0.409766186624118,5.01499757689299e-83,-0.25060539113524,1.57469288735812e-28,52,26,-26
"10","ENSMUSG00000068220","Lgals1",-0.501802290592839,1.43119129088551e-107,-0.325424836738848,2.75993933336451e-40,26,6,-20
"11","ENSMUSG00000026728","Vim",-0.465258698328526,5.75609682579873e-78,-0.303827805359067,4.10825724392748e-30,64,22,-42
"12","ENSMUSG00000023905","Tnfrsf12a",-0.509226956121711,9.51811369472331e-59,-0.308499705242271,4.94418545037525e-19,105,65,-40
"13","ENSMUSG00000022218","Tgm1",-0.435057156472135,1.58461221763456e-36,-0.215467244737426,3.9372536241854e-08,189,276,87
"14","ENSMUSG00000027907","S100a11",-0.460265736084017,1.63816258884297e-60,-0.330656516812704,1.37589592332407e-28,102,25,-77
"15","ENSMUSG00000035385","Ccl2",-0.512242226431927,1.80588529223624e-51,-0.292081699403389,1.20027193072136e-14,121,98,-23
"16","ENSMUSG00000046711","Hmga1",-0.443264865561971,6.39308286956711e-46,-0.334041093834781,4.47928127880284e-24,136,35,-101
"17","ENSMUSG00000027800","Tm4sf1",-0.345462511325302,2.39686093383379e-25,-0.202429274839007,3.5999263615053e-08,269,272,3
